method,threads,run,time_seconds
Block,1,1,9.05184
Block,1,2,9.17747
Block,1,3,9.03376
Dynamic,1,1,9.04304
Dynamic,1,2,9.03256
Dynamic,1,3,9.01571
Mutex,1,1,9.02206
Mutex,1,2,9.03189
Mutex,1,3,9.02136
Block,2,1,4.64776
Block,2,2,4.60616
Block,2,3,4.6064
Dynamic,2,1,4.62551
Dynamic,2,2,4.61944
Dynamic,2,3,4.61878
Mutex,2,1,4.62315
Mutex,2,2,4.62268
Mutex,2,3,4.63038
Block,4,1,4.60896
Block,4,2,4.58236
Block,4,3,4.57398
Dynamic,4,1,2.58278
Dynamic,4,2,2.57717
Dynamic,4,3,2.58592
Mutex,4,1,2.57993
Mutex,4,2,2.58389
Mutex,4,3,2.58166
Block,8,1,3.87303
Block,8,2,3.85883
Block,8,3,3.85307
Dynamic,8,1,1.30561
Dynamic,8,2,1.30807
Dynamic,8,3,1.30658
Mutex,8,1,1.30583
Mutex,8,2,1.30524
Mutex,8,3,1.3057
Block,16,1,2.46425
Block,16,2,2.43942
Block,16,3,2.4391
Dynamic,16,1,0.890701
Dynamic,16,2,0.902043
Dynamic,16,3,0.908251
Mutex,16,1,0.877645
Mutex,16,2,0.878538
Mutex,16,3,0.877763
Block,32,1,1.38952
Block,32,2,1.3857
Block,32,3,1.37349
Dynamic,32,1,0.885976
Dynamic,32,2,0.896003
Dynamic,32,3,0.893715
Mutex,32,1,0.875366
Mutex,32,2,0.877401
Mutex,32,3,0.881329
Block,64,1,1.04455
Block,64,2,0.99517
Block,64,3,0.990043
Dynamic,64,1,0.889391
Dynamic,64,2,0.879976
Dynamic,64,3,0.885898
Mutex,64,1,0.877501
Mutex,64,2,0.879371
Mutex,64,3,0.881029
Block,128,1,0.919929
Block,128,2,0.909362
Block,128,3,0.896207
Dynamic,128,1,0.882626
Dynamic,128,2,0.886753
Dynamic,128,3,0.885722
Mutex,128,1,0.886374
Mutex,128,2,0.883614
Mutex,128,3,0.887572
