method,threads,size,blockSize,time_seconds
UlamBlocks,1,4,1,0.00026679
UlamBlocks,1,4,2,3.76701e-06
UlamBlocks,1,4,4,3.57628e-06
UlamBlocks,1,4,8,3.38554e-06
UlamBlocks,1,4,16,3.38554e-06
UlamBlocks,1,4,32,3.38554e-06
UlamBlocks,1,4,64,3.43323e-06
UlamBlocks,1,4,128,3.19481e-06
UlamBlocks,1,4,256,3.8147e-06
UlamBlocks,1,4,512,2.38419e-06
UlamBlocks,1,4,1024,2.57492e-06
UlamBlocks,8,1000,1,0.0139592
UlamBlocks,8,1000,2,0.0114056
UlamBlocks,8,1000,4,0.0108698
UlamBlocks,8,1000,8,0.0107422
UlamBlocks,8,1000,16,0.010667
UlamBlocks,8,1000,32,0.010648
UlamBlocks,8,1000,64,0.0108234
UlamBlocks,8,1000,128,0.0115344
UlamBlocks,8,1000,256,0.0126974
UlamBlocks,8,1024,2,0.0123726
UlamBlocks,8,1024,4,0.0123888
UlamBlocks,8,1024,8,0.0114696
UlamBlocks,8,1024,16,0.0113856
UlamBlocks,8,1024,32,0.0113788
UlamBlocks,8,1024,64,0.0114628
UlamBlocks,8,1024,128,0.0118508
UlamBlocks,8,1024,256,0.0130044
UlamBlocks,8,1024,512,0.0225182
UlamBlocks,8,1024,2,0.0123092
UlamBlocks,8,1024,4,0.0115686
UlamBlocks,8,1024,8,0.0114322
UlamBlocks,8,1024,16,0.0113626
UlamBlocks,8,1024,32,0.0113824
UlamBlocks,8,1024,64,0.0115652
UlamBlocks,8,1024,128,0.0118704
UlamBlocks,8,1024,256,0.012981
UlamBlocks,8,1024,512,0.0228564
UlamBlocks,8,1024,2,0.0123284
UlamBlocks,8,1024,4,0.0115846
UlamBlocks,8,1024,8,0.0114336
UlamBlocks,8,1024,16,0.0113578
UlamBlocks,8,1024,32,0.0113784
UlamBlocks,8,1024,64,0.0114478
UlamBlocks,8,1024,128,0.0118802
UlamBlocks,8,1024,256,0.0129988
UlamBlocks,8,1024,512,0.0226638
